,SQLDATE,Number of Events
1247,2019-08-11,0
1248,2019-08-12,0
1249,2019-08-13,0
1250,2019-08-14,0
1251,2019-08-15,0
1252,2019-08-16,0
1253,2019-08-17,0
1254,2019-08-18,0
1255,2019-08-19,0
1256,2019-08-20,0
1257,2019-08-21,0
1258,2019-08-22,0
1259,2019-08-23,0
1260,2019-08-24,0
1261,2019-08-25,0
1262,2019-08-26,0
1263,2019-08-27,0
1264,2019-08-28,0
1265,2019-08-29,0
1266,2019-08-30,0
1267,2019-08-31,0
1268,2019-09-01,0
1269,2019-09-02,0
1270,2019-09-03,0
1271,2019-09-04,0
1272,2019-09-05,0
1273,2019-09-06,0
1274,2019-09-07,0
1275,2019-09-08,0
1276,2019-09-09,0
1277,2019-09-10,0
1278,2019-09-11,0
1279,2019-09-12,0
1280,2019-09-13,0
1281,2019-09-14,0
1282,2019-09-15,0
1283,2019-09-16,0
1284,2019-09-17,0
1285,2019-09-18,0
1286,2019-09-19,0
1287,2019-09-20,0
1288,2019-09-21,0
1289,2019-09-22,0
1290,2019-09-23,0
1291,2019-09-24,0
1292,2019-09-25,0
1293,2019-09-26,0
1294,2019-09-27,0
1295,2019-09-28,0
1296,2019-09-29,0
1297,2019-09-30,0
1298,2019-10-01,0
1299,2019-10-02,0
1300,2019-10-03,0
1301,2019-10-04,0
1302,2019-10-05,0
1303,2019-10-06,0
1304,2019-10-07,0
1305,2019-10-08,0
1306,2019-10-09,0
1307,2019-10-10,0
1308,2019-10-11,0
1309,2019-10-12,0
1310,2019-10-13,0
1311,2019-10-14,0
1312,2019-10-15,0
1313,2019-10-16,0
1314,2019-10-17,0
1315,2019-10-18,0
1316,2019-10-19,0
1317,2019-10-20,0
1318,2019-10-21,0
1319,2019-10-22,0
1320,2019-10-23,0
1321,2019-10-24,0
1322,2019-10-25,0
1323,2019-10-26,0
1324,2019-10-27,0
1325,2019-10-28,0
1326,2019-10-29,0
1327,2019-10-30,0
1328,2019-10-31,0
1329,2019-11-01,0
1330,2019-11-02,0
1331,2019-11-03,0
1332,2019-11-04,0
1333,2019-11-05,0
1334,2019-11-06,0
1335,2019-11-07,0
1336,2019-11-08,0
1337,2019-11-09,0
1338,2019-11-10,0
1339,2019-11-11,0
1340,2019-11-12,0
1341,2019-11-13,0
1342,2019-11-14,0
1343,2019-11-15,0
1344,2019-11-16,0
1345,2019-11-17,0
1346,2019-11-18,0
1347,2019-11-19,0
1348,2019-11-20,0
1349,2019-11-21,0
1350,2019-11-22,0
1351,2019-11-23,0
1352,2019-11-24,0
1353,2019-11-25,0
1354,2019-11-26,0
1355,2019-11-27,0
1356,2019-11-28,0
1357,2019-11-29,0
1358,2019-11-30,0
1359,2019-12-01,0
1360,2019-12-02,0
1361,2019-12-03,0
1362,2019-12-04,0
1363,2019-12-05,0
1364,2019-12-06,0
1365,2019-12-07,0
1366,2019-12-08,0
1367,2019-12-09,0
1368,2019-12-10,0
1369,2019-12-11,0
1370,2019-12-12,0
1371,2019-12-13,0
1372,2019-12-14,0
1373,2019-12-15,0
1374,2019-12-16,0
1375,2019-12-17,0
1376,2019-12-18,0
1377,2019-12-19,0
1378,2019-12-20,0
1379,2019-12-21,0
1380,2019-12-22,0
1381,2019-12-23,0
1382,2019-12-24,0
1383,2019-12-25,0
1384,2019-12-26,0
1385,2019-12-27,0
1386,2019-12-28,0
1387,2019-12-29,0
1388,2019-12-30,0
1389,2019-12-31,0
1390,2020-01-01,0
1391,2020-01-02,0
1392,2020-01-03,0
1393,2020-01-04,0
1394,2020-01-05,0
1395,2020-01-06,0
1396,2020-01-07,0
1397,2020-01-08,0
1398,2020-01-09,0
1399,2020-01-10,0
1400,2020-01-11,0
1401,2020-01-12,0
1402,2020-01-13,0
1403,2020-01-14,0
1404,2020-01-15,0
1405,2020-01-16,0
1406,2020-01-17,0
1407,2020-01-18,0
1408,2020-01-19,0
1409,2020-01-20,0
1410,2020-01-21,0
1411,2020-01-22,0
1412,2020-01-23,0
1413,2020-01-24,0
1414,2020-01-25,0
1415,2020-01-26,0
1416,2020-01-27,0
1417,2020-01-28,0
1418,2020-01-29,0
1419,2020-01-30,0
1420,2020-01-31,0
1421,2020-02-01,0
1422,2020-02-02,0
1423,2020-02-03,0
1424,2020-02-04,0
1425,2020-02-05,0
1426,2020-02-06,0
1427,2020-02-07,0
1428,2020-02-08,0
1429,2020-02-09,0
1430,2020-02-10,0
1431,2020-02-11,0
1432,2020-02-12,0
1433,2020-02-13,0
1434,2020-02-14,0
1435,2020-02-15,0
1436,2020-02-16,0
1437,2020-02-17,0
1438,2020-02-18,0
1439,2020-02-19,0
1440,2020-02-20,0
1441,2020-02-21,0
1442,2020-02-22,0
1443,2020-02-23,0
1444,2020-02-24,0
1445,2020-02-25,0
1446,2020-02-26,0
1447,2020-02-27,0
1448,2020-02-28,0
1449,2020-02-29,0
1450,2020-03-01,0
1451,2020-03-02,0
1452,2020-03-03,0
1453,2020-03-04,0
1454,2020-03-05,0
1455,2020-03-06,0
1456,2020-03-07,0
1457,2020-03-08,0
1458,2020-03-09,0
1459,2020-03-10,0
1460,2020-03-11,0
1461,2020-03-12,0
1462,2020-03-13,0
1463,2020-03-14,0
1464,2020-03-15,0
1465,2020-03-16,0
1466,2020-03-17,0
1467,2020-03-18,0
1468,2020-03-19,0
1469,2020-03-20,0
1470,2020-03-21,0
1471,2020-03-22,0
1472,2020-03-23,0
1473,2020-03-24,0
1474,2020-03-25,0
1475,2020-03-26,0
1476,2020-03-27,0
1477,2020-03-28,0
1478,2020-03-29,0
1479,2020-03-30,0
1480,2020-03-31,0
1481,2020-04-01,0
1482,2020-04-02,0
1483,2020-04-03,0
1484,2020-04-04,0
1485,2020-04-05,0
1486,2020-04-06,0
1487,2020-04-07,0
1488,2020-04-08,0
1489,2020-04-09,0
1490,2020-04-10,0
1491,2020-04-11,0
1492,2020-04-12,0
1493,2020-04-13,0
1494,2020-04-14,0
1495,2020-04-15,0
1496,2020-04-16,0
1497,2020-04-17,0
1498,2020-04-18,0
1499,2020-04-19,0
1500,2020-04-20,0
1501,2020-04-21,0
1502,2020-04-22,0
1503,2020-04-23,0
1504,2020-04-24,0
1505,2020-04-25,0
1506,2020-04-26,0
1507,2020-04-27,0
1508,2020-04-28,0
1509,2020-04-29,0
1510,2020-04-30,0
1511,2020-05-01,0
1512,2020-05-02,0
1513,2020-05-03,0
1514,2020-05-04,0
1515,2020-05-05,0
1516,2020-05-06,0
1517,2020-05-07,0
1518,2020-05-08,0
1519,2020-05-09,0
1520,2020-05-10,0
1521,2020-05-11,0
1522,2020-05-12,0
1523,2020-05-13,0
1524,2020-05-14,0
1525,2020-05-15,0
1526,2020-05-16,0
1527,2020-05-17,0
1528,2020-05-18,0
1529,2020-05-19,0
1530,2020-05-20,0
1531,2020-05-21,0
1532,2020-05-22,0
1533,2020-05-23,0
1534,2020-05-24,0
1535,2020-05-25,0
1536,2020-05-26,0
1537,2020-05-27,0
1538,2020-05-28,0
1539,2020-05-29,0
1540,2020-05-30,0
1541,2020-05-31,2
1542,2020-06-01,1
1543,2020-06-02,0
1544,2020-06-03,1
1545,2020-06-04,0
1546,2020-06-05,0
1547,2020-06-06,0
1548,2020-06-07,0
1549,2020-06-08,0
1550,2020-06-09,0
1551,2020-06-10,0
1552,2020-06-11,1
1553,2020-06-12,0
1554,2020-06-13,0
1555,2020-06-14,0
1556,2020-06-15,0
1557,2020-06-16,0
1558,2020-06-17,1
1559,2020-06-18,0
1560,2020-06-19,0
1561,2020-06-20,0
1562,2020-06-21,0
1563,2020-06-22,1
1564,2020-06-23,0
1565,2020-06-24,0
1566,2020-06-25,0
1567,2020-06-26,0
1568,2020-06-27,0
1569,2020-06-28,0
1570,2020-06-29,0
1571,2020-06-30,0
1572,2020-07-01,0
1573,2020-07-02,0
1574,2020-07-03,0
1575,2020-07-04,0
1576,2020-07-05,0
1577,2020-07-06,0
1578,2020-07-07,0
1579,2020-07-08,0
1580,2020-07-09,0
1581,2020-07-10,0
1582,2020-07-11,0
1583,2020-07-12,0
1584,2020-07-13,0
1585,2020-07-14,1
1586,2020-07-15,1
1587,2020-07-16,0
1588,2020-07-17,0
1589,2020-07-18,0
1590,2020-07-19,0
1591,2020-07-20,0
1592,2020-07-21,0
1593,2020-07-22,1
1594,2020-07-23,1
1595,2020-07-24,0
1596,2020-07-25,0
1597,2020-07-26,0
1598,2020-07-27,0
1599,2020-07-28,0
1600,2020-07-29,1
1601,2020-07-30,0
1602,2020-07-31,0
1603,2020-08-01,0
1604,2020-08-02,1
1605,2020-08-03,1
1606,2020-08-04,0
1607,2020-08-05,0
1608,2020-08-06,0
1609,2020-08-07,0
1610,2020-08-08,0
1611,2020-08-09,0
1612,2020-08-10,3
1613,2020-08-11,2
1614,2020-08-12,1
1615,2020-08-13,5
1616,2020-08-14,4
1617,2020-08-15,5
1618,2020-08-16,0
1619,2020-08-17,4
1620,2020-08-18,0
1621,2020-08-19,0
1622,2020-08-20,0
1623,2020-08-21,0
1624,2020-08-22,0
1625,2020-08-23,0
1626,2020-08-24,0
1627,2020-08-25,0
1628,2020-08-26,0
1629,2020-08-27,0
1630,2020-08-28,2
1631,2020-08-29,0
1632,2020-08-30,0
1633,2020-08-31,0
1634,2020-09-01,0
1635,2020-09-02,3
1636,2020-09-03,0
1637,2020-09-04,0
1638,2020-09-05,0
1639,2020-09-06,0
1640,2020-09-07,0
1641,2020-09-08,0
1642,2020-09-09,0
1643,2020-09-10,0
1644,2020-09-11,0
1645,2020-09-12,0
1646,2020-09-13,0
1647,2020-09-14,0
1648,2020-09-15,0
1649,2020-09-16,0
1650,2020-09-17,0
1651,2020-09-18,0
1652,2020-09-19,0
1653,2020-09-20,0
1654,2020-09-21,0
1655,2020-09-22,0
1656,2020-09-23,0
1657,2020-09-24,0
1658,2020-09-25,0
1659,2020-09-26,0
1660,2020-09-27,0
1661,2020-09-28,0
1662,2020-09-29,0
1663,2020-09-30,0
1664,2020-10-01,0
1665,2020-10-02,0
1666,2020-10-03,0
1667,2020-10-04,0
1668,2020-10-05,0
1669,2020-10-06,0
1670,2020-10-07,0
1671,2020-10-08,0
1672,2020-10-09,0
1673,2020-10-10,0
1674,2020-10-11,0
1675,2020-10-12,0
1676,2020-10-13,0
1677,2020-10-14,0
1678,2020-10-15,0
1679,2020-10-16,0
1680,2020-10-17,0
1681,2020-10-18,0
1682,2020-10-19,0
1683,2020-10-20,0
1684,2020-10-21,0
1685,2020-10-22,0
1686,2020-10-23,0
1687,2020-10-24,0
1688,2020-10-25,0
1689,2020-10-26,0
1690,2020-10-27,0
1691,2020-10-28,0
1692,2020-10-29,0
1693,2020-10-30,0
1694,2020-10-31,0
1695,2020-11-01,0
1696,2020-11-02,0
1697,2020-11-03,0
1698,2020-11-04,4
1699,2020-11-05,0
1700,2020-11-06,0
1701,2020-11-07,0
1702,2020-11-08,0
1703,2020-11-09,0
1704,2020-11-10,0
1705,2020-11-11,0
1706,2020-11-12,0
1707,2020-11-13,0
1708,2020-11-14,0
1709,2020-11-15,0
1710,2020-11-16,0
1711,2020-11-17,0
1712,2020-11-18,0
1713,2020-11-19,0
1714,2020-11-20,0
1715,2020-11-21,0
1716,2020-11-22,0
1717,2020-11-23,0
1718,2020-11-24,0
1719,2020-11-25,0
1720,2020-11-26,0
1721,2020-11-27,0
1722,2020-11-28,0
1723,2020-11-29,0
1724,2020-11-30,0
1725,2020-12-01,0
1726,2020-12-02,0
1727,2020-12-03,0
1728,2020-12-04,0
1729,2020-12-05,0
1730,2020-12-06,0
1731,2020-12-07,0
1732,2020-12-08,0
1733,2020-12-09,0
1734,2020-12-10,0
1735,2020-12-11,0
1736,2020-12-12,0
1737,2020-12-13,0
1738,2020-12-14,0
1739,2020-12-15,0
1740,2020-12-16,0
1741,2020-12-17,1
